reviewStatus,suggestedCategory,categories,name,rating,reviewCount,address,googlePrimaryType,businessStatus,googleMapsUri,googlePlaceId,matchedQueries,notes
"approved","stay","stay","Emok's Guest House","4.2","121","Paramayon, Poblacion East,, Moalboal, 6032 Lalawigan ng Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=9940506151529419808&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJL84Uq1voqzMRIBR_ga3F84k","guest house",""
"approved","stay","stay","Ester Escabas Cottages - Ester's Place","4.3","42","X9P9+QR4, basdaku, Moalboal, Cebu","private_guest_room","OPERATIONAL","https://maps.google.com/?cid=15302786414484791708&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJaZ7HVRXmqzMRnCEKlSprXtQ","homestay",""
"approved","stay","stay | services","FFG EDEN Resort","4","171","Sitio Talisay, Basdiot, Moalboal, 6032 Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=3459282602415536195&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJj97SiFnpqzMRQ7iq5jLXATA","hotel | resort | gym",""
"approved","stay","stay","Gerty's Tourist Inn powered by Cocotel","4.5","68","Marcelo A. Street Basdiot, Moalboal, Cebu Marcelo A. Street, Home Stay, Panagsama Beach, Basdiot, Moalboal, 6032 Lalawigan ng Cebu","private_guest_room","OPERATIONAL","https://maps.google.com/?cid=12039026787234859601&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ3zckrcPoqzMRUcqL1hM3E6c","homestay",""
"approved","stay","stay","Hale Manna Coastal Gardens","4.5","513","Sitio Basdako, Saavedra, Moalboal, 6032 Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=16829057880921528347&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJHRgyG0DmqzMRG9jQgPrSjOk","homestay",""
"approved","stay","stay","Hangover Hostel","4.6","131","Barangay, 6032 C.Schmitz Road, Basdiot, Moalboal, Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=4276632192108370617&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJoaqDswTpqzMRuZqe9VGmWTs","hostel",""
"approved","stay","stay","Herbs Guest House","4.5","158","Tongo Point Road Tongo, W9PG+5FF, Moalboal, 6032 Cebu","hotel","OPERATIONAL","https://maps.google.com/?cid=16078573572105745310&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJMQNFm-HoqzMRnrNY1HmRIt8","guest house",""
"approved","stay","stay","Home Sweetie Homestay & Bunkbeds","4.8","66","C.Schmitz Road, Moalboal, 6032 Cebu","private_guest_room","OPERATIONAL","https://maps.google.com/?cid=3144376829345819313&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJbbzYRNXpqzMRsWogERESoys","homestay",""
"approved","stay","stay","Homestay California","4.7","47","W9PM+RM2, Tongo Point Rd, Moalboal, Cebu","lodging","OPERATIONAL","https://maps.google.com/?cid=3553166407386927872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ5cItr_TpqzMRABMmpAViTzE","homestay",""
"approved","stay","stay","HYD Hostel Moalboal","4.3","24","Panagsama Beach, Moalboal, 6032 Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=12462486352819906307&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJM6oaWADpqzMRA-f7DU-l86w","hostel | guest house",""
"approved","stay","stay","Island Vibes Hostel","5","20","Panagsama Rd, Moalboal, 6032 Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=1898655380649824346&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJBaX1XLjpqzMRWlCEWgJhWRo","hostel",""
"approved","stay","stay","Maayong Hostel","4.8","181","W9WF+3GX, Panagsama Rd, Moalboal, 6032 Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=253271441019526877&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJbV4I0THpqzMR3V64oQjNgwM","hostel",""
"approved","stay","stay","Marcosas Cottages Resort","4.1","355","Panagsama Beach, Moalboal, Moalboal, 6032 Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=5656053824377947581&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJZ3pspMPoqzMRvYWJePxWfk4","hotel | resort",""
"approved","stay","stay","MARZ IN MOALBOAL GUEST HOUSE","4.5","35","Bantayan Road, Moalboal, Lalawigan ng Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=5002386332578819837&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJn0bBmz_pqzMR_S6hnt0LbEU","guest house",""
"approved","stay","stay","Moalboal Bamboo House Saavedra Basdaku","4.1","254","Bamboo House Resort Call +63 943 097 5404 Resort, Moalboal, 6032 Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=10898090325981646676&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJcf4KribmqzMRVM9BMmnLPZc","homestay",""
"approved","stay","stay","Moalboal Beach Resort","4.2","280","Whitebeach, Moalboal, 6032 Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=3952130759895274699&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJQQ_MOjfmqzMRy9RzofzJ2DY","resort",""
"approved","stay","stay","Moalboal Casablanca Inn","4.9","51","Moalboal, 6032 Cebu","hotel","OPERATIONAL","https://maps.google.com/?cid=12038102415897926774&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ6yNnLdXpqzMRdhxe3V3uD6c","hotel",""
"approved","stay","stay","Moalboal Cay Hostel","5","34","brgy, Panagsama Rd, Basdiot, Moalboal, 6032 Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=7302322849604665694&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJH4bDDJ7pqzMRXoHnPfEPV2U","hostel",""
"approved","stay","stay","Moalboal Indino's Guesthouse","4.5","91","Panagsama Rd, Moalboal, 6032 Cebu","guest_house","OPERATIONAL","https://maps.google.com/?cid=17759147397184594618&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJozhND2npqzMRuqL9OncqdfY","guest house",""
"approved","stay","stay","Moalboal T Breeze Coastal Resort","4.1","257","Looc, Moalboal, 6032 Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=13807697288670726988&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJD4JLxCHmqzMRTMtXGYfLnr8","hotel | resort",""
"approved","stay","stay | services","Moalboal Treeshade Resort","4.9","3773","Bantayan, Between Beyond Island and Dolce Vita Resort, Basdiot, Panagsama Rd, Uno, Moalboal, 6032 Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=16693167153538324941&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJP6N_G_LpqzMRzdne-hQLquc","hotel | resort | spa",""
"approved","stay","stay | shop | services","Moalboal Tropics","4.1","829","Paramayon, Poblacion East, Moalboal, 6032 Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=2131623360769420883&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ_8HTvFnoqzMRU-6VHScMlR0","hotel | resort | supermarket | spa | bank",""
"approved","stay","stay","Moana Beach House","4.2","76","Panagsama Rd, Basdiot, Moalboal, 6032 Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=15823580291226035838&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJV1YXCavpqzMRfmZmHXCmmNs","resort | hostel | guest house",""
"approved","stay","stay","MoHo - Moalboal Hostel","4.2","216","Brgy, Panagsama Rd, Basdiot, Moalboal, 6032 Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=10393033434839062159&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJX1Oare_oqzMRjxZXJth4O5A","hostel",""
"approved","stay","stay","MOMO Hostel Moalboal","4.9","64","Talisay Rd, Basdiot, Moalboal, 6032 Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=8981964513498753766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ1R5TR5LpqzMR5upB9CJZpnw","hostel",""
"approved","stay","stay","Ohlala Hostel","4.8","74","Panagsama Rd, Basdiot, Moalboal, 6032 Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=12367406143473824762&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ37WevArpqzMR-rO9tlzaoas","hostel | homestay",""
"approved","stay","stay","OoniHostel Moalboal","4","31","W9XC+4GQ, Basdiot, Moalboal, Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=2260841325851700844&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJA-gUzajpqzMRbO7pGDUfYB8","hostel",""
"approved","stay","stay","Pescadores Suites Moalboal","4.3","1186","Francisco Road, Basdiot, Moalboal, 6032 Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=12917081883059023382&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJjSL22cLoqzMRFu5d9oixQrM","hotel | resort",""
"approved","stay","stay","Purple Heart Guest House","4.9","25","X929+84G, Tubli Rd, Moalboal, Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=2808623980202764069&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJo1Xm7gfpqzMRJSehF6E8-iY","guest house | homestay",""
"approved","stay","stay","Puy-an, A Nomad Hostel","4.3","40","C.Schmitz Road, Moalboal, 6032 Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=16067184813441471791&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJjW6KF-HpqzMRL9W60XUb-t4","hostel",""
"approved","stay","stay | dive | shop","Quo Vadis Dive Resort","4.4","436","Panagsama Beach, Moalboal, 6032 Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=15745199967445974859&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJawERSt3oqzMRS_8b4fIvgto","resort | scuba diving | shopping",""
"approved","stay","stay","RNA Guesthouse","4.8","51","Lot 1 Tongo Point Rd, Moalboal, 6032 Cebu","hotel","OPERATIONAL","https://maps.google.com/?cid=8463034704582835937&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJocn_ocTpqzMR4X52iDm9cnU","guest house",""
"approved","stay","stay","Roos Guesthouse","4.8","148","Batayan Road, Basdiot, Moalboal, 6032 Cebu","guest_house","OPERATIONAL","https://maps.google.com/?cid=4327272290831974692&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJa3JiAsHoqzMRJEFuvTiPDTw","guest house",""
"approved","stay","stay","Secret Paradise","4.5","182","Panagsama Beach, Moalboal, Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=10860853910847646240&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJe5I5jQfpqzMRIGp8sRaBuZY","hotel | resort",""
"approved","stay","stay","Sunset Beach Resort","4.1","125","411, 6032 Panagsama Rd, Moalboal, Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=12029943874811116736&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJxYIAsFLpqzMRwLwAfjfy8qY","hotel | resort",""
"approved","stay","stay","Sunset Paradise Hostel Moalboal","4.6","37","Purok Palata, Opposite to Barangay Basdiot, Moalboal, 6032 Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=16851807323545719641&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ3UuTHDTpqzMRWdNE33ml3ek","hostel",""
"approved","stay","stay | services","Sunset Paradise Moalboal","4.4","147","X928+4XP, Panagsama Rd, Moalboal, 6032 Cebu","hotel","OPERATIONAL","https://maps.google.com/?cid=2021970026018910741&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJS0JgsSDpqzMRFTJYmwZ7Dxw","hotel | resort | spa",""
"approved","stay","stay","The Backyard Inn","4.8","80","Panagsama Rd, Basdiot, Moalboal, 6032 Cebu","hotel","OPERATIONAL","https://maps.google.com/?cid=4727885425678923690&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ86xh0XrpqzMRqrdWyL7SnEE","hotel",""
"approved","stay","stay","The Blue Orchid Resort","4.5","183","Moalboal, Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=15333622653581110829&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJdVqJNEDmqzMRLa6V-o_4y9Q","hotel | resort",""
"approved","stay","stay","The Hat Trick Hostel Cebu","4.8","73","Moalboal, 6032 Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=14604764428642667093&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJhwj13UzpqzMRVcqBVd6Lrso","hostel",""
"approved","stay","stay | dive | shop","The Wild Orchid Resort","4.3","115","The Wild Orchid Resort, Saavedra, Moalboal, Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=17312670735201938435&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJDZ1wIu_nqzMRAywDpU72QvA","resort | scuba diving | supermarket | shopping",""
"approved","stay","stay","Turtle Bay Dive Resort","4.5","390","Tongo, Basdiot, Moalboal, 6032 Cebu","resort_hotel","OPERATIONAL","https://maps.google.com/?cid=5155900931824891703&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ4fHDHOPoqzMRNzeHkpRwjUc","resort",""
"approved","stay","stay | eat","Villa Alessandra","4.9","167","Santander - Barili - Toledo Rd, Badian, 6032 Cebu","hotel","OPERATIONAL","https://maps.google.com/?cid=16690353187735960711&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","ChIJJQqo0oPpqzMRh3zPgssLoOc","hotel | restaurant","Manually approved from https://maps.app.goo.gl/s6uizHCaKRKnPii97; Google currently formats the locality as Badian."
"approved","stay","stay","West Coast Beach House","4.5","217","Panagsama Beach, Moalboal, 6032 Cebu","hotel","OPERATIONAL","https://maps.google.com/?cid=11639029074122383086&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJS-6wI8HoqzMR7h6C1UYjhqE","hotel",""
"approved","stay","stay | services","Wild Monkeys Hostel","4.9","93","Panagsama Rd, Moalboal, 6032 Cebu","hostel","OPERATIONAL","https://maps.google.com/?cid=308125559054049227&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJFTJzHNfpqzMRy5-iPZCuRgQ","hostel | gym",""
"approved","Tours","transport","YOLO Moalboal Cebu Adventure","4.5","26","YOLO MOALBOAL CEBU ADVENTURE Tubli Rd, Moalboal, Cebu YOLO MOALBOAL, ADVENTURE, 6032 Cebu","service","OPERATIONAL","https://maps.google.com/?cid=17185587634578881315&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJ6QGKEwDpqzMRI3trh-Z4f-4","motorcycle rental",""
"approved","transport","transport","ace motorbike","4.8","46","1 Bantayan Road, Moalboal, 6032 Lalawigan ng Cebu","service","OPERATIONAL","https://maps.google.com/?cid=9494453978119812755&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJdzCKBwDpqzMRkzYg3pYTw4M","motorcycle rental | car rental",""
"approved","transport","transport","Elite Scooter Rentals Cebu","4.8","36","Upper Buay Ay, Moalboal, 6032 Cebu","service","OPERATIONAL","https://maps.google.com/?cid=16010715898079769587&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJbRGckYDpqzMR83O-6Ed9Md4","motorcycle rental",""
"approved","transport","transport","Flores Motorcycle Rental","4.4","33","X95G+Q5C, Tubli Rd, Moalboal, Cebu","service","OPERATIONAL","https://maps.google.com/?cid=5405812881089515454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJV4TKJRrpqzMRvk-SkyxOBUs","motorcycle rental",""
"approved","transport","transport","FuelTech Gas Station","4.3","33","W9QR+MCC, Panagsama Rd, Moalboal, Cebu","gas_station","OPERATIONAL","https://maps.google.com/?cid=16675353635450750071&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJFyQb4DXpqzMRd4QPGcjBauc","gas station",""
"approved","transport","transport","IslandHoppers Scooter Rental and Taxi Service","4.9","206","X929+FW3, Klemens Rd, Moalboal, Cebu","service","OPERATIONAL","https://maps.google.com/?cid=16406491865215617991&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJqbtlNAjpqzMRx0uDFG2Rr-M","motorcycle rental | car rental",""
"approved","transport","transport","LOY'S MOTORBIKE RENTAL","5","272","Panagsama, Bantayan, 1 Tubli Rd, Moalboal, 6032 Cebu","service","OPERATIONAL","https://maps.google.com/?cid=568962869670566600&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJkwOQZdzpqzMRyNoZKbdc5Qc","motorcycle rental | car rental",""
"approved","transport","transport","Majona’s Motorbike Hire","4.1","87","Panagsama Road Moalboal, Cebu","service","OPERATIONAL","https://maps.google.com/?cid=1417536223130309197&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","ChIJZ6HX-evpqzMRTVLuO68ZrBM","motorcycle rental",""
